row_id,group,dataset_query,model,method,base_bias,counter_bias_n,counter_bias_pct,train_yes_pct,accept_defer,eval_pred_yes_pct,acc_pct,metric,metric_value,delta_vs_baseline,interpretation,source_result
IMDb full-test | IMDb q1 | pool-random,IMDb full-test,IMDb q1,Qwen3-0.6B,pool-random,yes,1231,49.24,50.76,1499/1001,50.49,94.37,macro-F1,94.37,0.0,随机基线,experiments/evals/imdb_qwen06b_T10_alpha010_train2500_lora/q1_pool_random_full/round_1/all_student_predictions.jsonl
FEVER 0.6B budget | FEVER n=4500 | pool-random,FEVER 0.6B budget,FEVER n=4500,Qwen3-0.6B,pool-random,no,2366,52.58,52.58,1262/3238,49.79,93.03,macro-F1,93.03,0.0,随机基线,experiments/reports/binary_legacy/csv/fever06b_counterexample_budget_1500_6000.csv
FEVER 0.6B budget | FEVER n=4500 | ns-error-mass,FEVER 0.6B budget,FEVER n=4500,Qwen3-0.6B,ns-error-mass,no,3073,68.29,68.29,1140/3360,50.91,94.03,macro-F1,94.03,1.0,更多反偏置 yes；小幅提升但与标签比例耦合,experiments/reports/binary_legacy/csv/fever06b_counterexample_budget_1500_6000.csv
FEVER 0.6B budget | FEVER n=6000 | pool-random,FEVER 0.6B budget,FEVER n=6000,Qwen3-0.6B,pool-random,no,3145,52.42,52.42,1670/4330,50.21,93.97,macro-F1,93.97,0.0,随机基线,experiments/reports/binary_legacy/csv/fever06b_counterexample_budget_1500_6000.csv
FEVER 0.6B budget | FEVER n=6000 | ns-error-mass,FEVER 0.6B budget,FEVER n=6000,Qwen3-0.6B,ns-error-mass,no,4092,68.2,68.2,1520/4480,50.21,94.47,macro-F1,94.47,0.5,更多反偏置 yes；小幅提升但与标签比例耦合,experiments/reports/binary_legacy/csv/fever06b_counterexample_budget_1500_6000.csv
Low-resource 0.6B | codebase q2 n=125 | random,Low-resource 0.6B,codebase q2 n=125,Qwen3-0.6B,random,yes,39,31.2,68.8,48/77,87.08,70.84,macro-F1,61.52,0.0,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
Low-resource 0.6B | codebase q2 n=125 | crc-error-mass,Low-resource 0.6B,codebase q2 n=125,Qwen3-0.6B,crc-error-mass,yes,41,32.8,67.2,41/84,72.31,75.08,macro-F1,71.73,10.21,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
Low-resource 0.6B | codebase q3 n=250 | random,Low-resource 0.6B,codebase q3 n=250,Qwen3-0.6B,random,yes,188,75.2,24.8,39/211,5.81,76.58,macro-F1,56.06,0.0,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
Low-resource 0.6B | codebase q3 n=250 | crc-error-mass,Low-resource 0.6B,codebase q3 n=250,Qwen3-0.6B,crc-error-mass,yes,192,76.8,23.2,40/210,2.58,75.93,macro-F1,50.65,-5.41,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
Low-resource 0.6B | twitter_hate q1 n=50 | random,Low-resource 0.6B,twitter_hate q1 n=50,Qwen3-0.6B,random,yes,11,22.0,78.0,41/9,87.38,83.22,macro-F1,65.94,0.0,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
Low-resource 0.6B | twitter_hate q1 n=50 | crc-error-mass,Low-resource 0.6B,twitter_hate q1 n=50,Qwen3-0.6B,crc-error-mass,yes,17,34.0,66.0,27/23,45.37,57.29,macro-F1,53.3,-12.64,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
Low-resource 0.6B | twitter_hate q1 n=125 | random,Low-resource 0.6B,twitter_hate q1 n=125,Qwen3-0.6B,random,yes,27,21.6,78.4,102/23,97.63,85.11,macro-F1,55.7,0.0,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
Low-resource 0.6B | twitter_hate q1 n=125 | crc-error-mass,Low-resource 0.6B,twitter_hate q1 n=125,Qwen3-0.6B,crc-error-mass,yes,35,28.0,72.0,67/58,93.33,86.19,macro-F1,65.85,10.15,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
Low-resource 0.6B | twitter_hate q1 n=250 | random,Low-resource 0.6B,twitter_hate q1 n=250,Qwen3-0.6B,random,yes,47,18.8,81.2,203/47,90.26,87.19,macro-F1,71.59,0.0,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
Low-resource 0.6B | twitter_hate q1 n=250 | crc-error-mass,Low-resource 0.6B,twitter_hate q1 n=250,Qwen3-0.6B,crc-error-mass,yes,69,27.6,72.4,134/116,87.47,87.02,macro-F1,73.58,1.99,成对对比：反偏置数量改变输出先验,experiments/reports/binary_legacy/csv/low_resource_counterexample_50_250.csv
FEVER 0.6B formula500 | FEVER n=500 | defer_kcenter,FEVER 0.6B formula500,FEVER n=500,Qwen3-0.6B,defer_kcenter,no,333,66.6,66.6,65/435,79.97,60.29,positive-F1,69.45,,更多反偏置 yes，输出先验过校正,experiments/runs/fever_formula_ratio_lora_500_t15/formula_ratio_lora_500_summary.csv
FEVER 0.6B formula500 | FEVER n=500 | random_defer,FEVER 0.6B formula500,FEVER n=500,Qwen3-0.6B,random_defer,no,260,52.0,52.0,65/435,71.83,71.33,positive-F1,76.47,,标签比例更接近评测集，结果更好,experiments/runs/fever_formula_ratio_lora_500_t15/formula_ratio_lora_500_summary.csv
